id,name,type,link,is_primary,student,lecture_id
slides,Slides,reading,https://drive.google.com/file/d/1yUot9T3myty2Tsx1KpXLxhyd77KbFlUl/view?usp=sharing,,,lec-introduction
panopto,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=a449561f-8558-4c15-9d9f-b34401576fc6,,,lec-introduction
slides,Slides,reading,https://drive.google.com/file/d/1Rc5V0QSkbObr1hWjcuLyDZ0dnPDhd538/view?usp=sharing,,,lec-search
fca-section-35,FCA - Section 3.5,reading,https://artint.info/3e/html/ArtInt3e.Ch3.S5.html,,,lec-search
panopto,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=61ec6c47-5064-4cf2-aab5-b34601597a14,,,lec-search
harvard-cs50,Harvard CS50,video,https://www.youtube.com/watch?v=WbzNRTTrX0g,,,lec-search
mit-6034,MIT 6.034,video,https://www.youtube.com/watch?v=j1H3jAAGlEA,,,lec-search
search-algorithms-in-ai-uninformed-search-section,Search Algorithms in AI (Uninformed Search Section),reading,https://www.appliedaicourse.com/blog/search-algorithms-in-ai/,TRUE,,lec-search
introduction-to-the-a-algorithm,Introduction to the A* Algorithm,reading,https://www.redblobgames.com/pathfinding/a-star/introduction.html,TRUE,,lec-a-search
foundations-of-computation-agents-section-36,Foundations of Computation Agents - Section 3.6,reading,https://artint.info/3e/html/ArtInt3e.Ch3.S6.html,,,lec-a-search
harvard-cs50,Harvard CS50,video,https://youtu.be/WbzNRTTrX0g?si=mqYHjM8hTRsed8h4&t=3269,,,lec-a-search
stanford-cs221,Stanford CS221,video,https://www.youtube.com/watch?v=HEs1ZCvLH2s&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=18,,,lec-a-search
mit-6034,MIT 6.034,video,https://www.youtube.com/watch?v=gGQ-vAmdAOI,,,lec-a-search
a-search,A* Search,blogpost,https://courses.grainger.illinois.edu/cs440/fa2024/lectures/astar.html,,,lec-a-search
introduction-to-a-,Introduction to A* ,blogpost,https://theory.stanford.edu/~amitp/GameProgramming/AStarComparison.html,,,lec-a-search
heuristics,Heuristics,blogpost,https://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html,,,lec-a-search
1968-a-formal-basis-for-the-heuristic-determination-of-minimum-cost-paths,(1968) A Formal Basis for the Heuristic Determination of Minimum Cost Paths,paper,https://ieeexplore.ieee.org/document/4082128,,,lec-a-search
a-in-minecraft,A* in Minecraft,video,https://www.youtube.com/watch?v=Zg0Cxn8AVZA,,Grant Flesher '26,lec-a-search
