id,Date,Unit,Topic,Assignments
history-of-ai,01/12/26,Unit 01: GOFAI,History of AI,
uninformed-search,01/14/26,,Uninformed Search,Reading 01
mlk-day,01/19/26,,MLK Day,
informed-search,01/21/26,,Informed Search,
constraint-satisfaction-problems,01/26/26,,Constraint Satisfaction Problems,Reading 02
adversarial-search,01/28/26,,Adversarial Search,Lab 00
knearest-neighbors,02/02/26,,K-Nearest Neighbors,Reading 03
decision-trees,02/04/26,,Decision Trees,Homework 01
markov-models-and-hidden-markov-models,02/09/26,,Markov Models and Hidden Markov Models,Reading 04
bayesian-reasoning,02/11/26,,Bayesian Reasoning,
linear-regression,02/16/26,,Linear Regression,"Reading 05, Lab 01"
review-01,02/18/26,Exam 01,Review 01,
exam-01,02/23/26,,Exam 01,"Practice Packet 01, Practice Packet 01 Solutions, Exam 01, Exam 01 Solutions"
perceptrons,02/25/26,Unit 02: Machine Learning,Perceptrons,
logistic-regression,03/02/26,,Logistic Regression,"Reading 06, Homework 02"
support-vector-machines,03/04/26,,Support Vector Machines,Reading 07
spring-break,03/09/26,,Spring Break,
spring-break,03/11/26,,Spring Break,
clustering,03/16/26,,Clustering,Lab 02
principal-component-analysis,03/18/26,,Principal Component Analysis,Reading 08
practicum-model-evaluation-and-ensemble-methods,03/23/26,,Practicum (Model Evaluation and Ensemble Methods),
review-02,03/25/26,Exam 02,Review 02,
exam-02,03/30/26,,Exam 02,"Practice Packet 02, Practice Packet 02 Solutions, Exam 02, Exam 02 Solutions"
feedforward-neural-networks,04/01/26,Unit 03: Deep Learning,Feed-Forward Neural Networks,"Reading 09, Homework 03"
easter-monday,04/06/26,,Easter Monday,
backpropagation,04/08/26,,Backpropagation,
convolutional-neural-networks,04/13/26,,Convolutional Neural Networks,"Reading 10, Lab 03"
recurrent-neural-networks,04/15/26,,Recurrent Neural Networks,Reading 11
transformers,04/20/26,,Transformers,"Reading 12, Homework 04"
diffusion-models,04/22/26,,Diffusion Models,Reading 13
reinforcement-learning,04/27/26,,Reinforcement Learning,"Reading 14, Lab 04"
review-03,04/29/26,Exam 03,Review 03,Reading 15
exam-03,05/05/26,,Exam 03,"Homework 05, Bonus Homework, Cif Bribe, Practice Packet 03, Practice Packet 03 Solutions, Exam 03, Exam 03 Solutions"
