Section,Date,Topics,Resource Name,Type,Link
Welcome,Mon 01/13,"Syllabus, History of AI",Slides,reading,https://drive.google.com/file/d/1yUot9T3myty2Tsx1KpXLxhyd77KbFlUl/view?usp=sharing
Welcome,Mon 01/13,"Syllabus, History of AI",Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=58dc4069-548c-4168-9dfe-b2640163d0da
Search and Representations,Wed 01/15,Search,Slides,reading,https://drive.google.com/file/d/1Rc5V0QSkbObr1hWjcuLyDZ0dnPDhd538/view?usp=sharing
Search and Representations,Wed 01/15,Search,FCA - Section 3.5,reading,https://artint.info/3e/html/ArtInt3e.Ch3.S5.html
Search and Representations,Wed 01/15,Search,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=2e7e50b5-88a1-44ff-86a4-b2730136eb53
Search and Representations,Wed 01/15,Search,Harvard CS50,video,https://www.youtube.com/watch?v=WbzNRTTrX0g
Search and Representations,Wed 01/15,Search,MIT 6.034,video,https://www.youtube.com/watch?v=j1H3jAAGlEA
Search and Representations,Wed 01/22,A* Search,Slides,reading,https://drive.google.com/file/d/1TXsuZZx0iFe7HXixaGD_vB6a8mMBZLIF/view?usp=sharing
Search and Representations,Wed 01/22,A* Search,FCA - Section 3.6,reading,https://artint.info/3e/html/ArtInt3e.Ch3.S6.html
Search and Representations,Wed 01/22,A* Search,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d5fecb7f-fd0b-4103-b41e-b2730130443e
Search and Representations,Wed 01/22,A* Search,Harvard CS50,video,https://youtu.be/WbzNRTTrX0g?si=mqYHjM8hTRsed8h4&t=3269
Search and Representations,Wed 01/22,A* Search,Stanford CS221,video,https://www.youtube.com/watch?v=HEs1ZCvLH2s&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=18
Search and Representations,Wed 01/22,A* Search,MIT 6.034,video,https://www.youtube.com/watch?v=gGQ-vAmdAOI
Search and Representations,Wed 01/22,A* Search,A* Search,blogpost,https://courses.grainger.illinois.edu/cs440/fa2024/lectures/astar.html
Search and Representations,Wed 01/22,A* Search,Introduction to A*,blogpost,https://theory.stanford.edu/~amitp/GameProgramming/AStarComparison.html
Search and Representations,Wed 01/22,A* Search,Heuristics,blogpost,https://theory.stanford.edu/~amitp/GameProgramming/Heuristics.html
Search and Representations,Mon 01/27,Constraint Satisfaction Problems,Slides,reading,https://drive.google.com/file/d/1_KrWnjqZbQ5bnjV9M9R-zGRizqLuJHu2/view?usp=sharing
Search and Representations,Mon 01/27,Constraint Satisfaction Problems,FCA - Sections 4.1 through 4.6,reading,https://artint.info/3e/html/ArtInt3e.Ch4.html
Search and Representations,Mon 01/27,Constraint Satisfaction Problems,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=950c91e2-7057-47b7-8b53-b272016b79a9
Search and Representations,Mon 01/27,Constraint Satisfaction Problems,Harvard CS50,video,https://youtu.be/qK46ET1xk2A?si=tSAHHe0Sp-OxWUpD&t=3033
Search and Representations,Mon 01/27,Constraint Satisfaction Problems,Stanford CS221,video,https://www.youtube.com/watch?v=-IO4fPO0rxk&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=23
Search and Representations,Mon 01/27,Constraint Satisfaction Problems,MIT 6.034,video,https://www.youtube.com/watch?v=dARl_gGrS4o
Search and Representations,Mon 01/27,Constraint Satisfaction Problems,CSPs for Sudoku,blogpost,https://medium.com/my-udacity-ai-nanodegree-notes/solving-sudoku-think-constraint-satisfaction-problem-75763f0742c9
Search and Representations,Wed 01/29,Adversarial Search,Slides,reading,https://drive.google.com/file/d/1_40XB0kUsCcmY5luy8iDi74SD-Jk6QR1/view?usp=sharing
Search and Representations,Wed 01/29,Adversarial Search,FCA - Sections 14.2 and 14.3,reading,https://artint.info/3e/html/ArtInt3e.Ch14.S2.html
Search and Representations,Wed 01/29,Adversarial Search,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5aad0ebb-3b39-45cc-a3f3-b2740169d60b
Search and Representations,Wed 01/29,Adversarial Search,Harvard CS50,video,https://youtu.be/WbzNRTTrX0g?si=CAG9IhmN4MBSzHfi&t=4323
Search and Representations,Wed 01/29,Adversarial Search,Stanford CS221,video,https://www.youtube.com/watch?v=3pU-Hrz_xy4&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=21
Search and Representations,Wed 01/29,Adversarial Search,MIT 6.034,video,https://www.youtube.com/watch?v=STjW3eH0Cik
Search and Representations,Wed 01/29,Adversarial Search,Tic Tac Toe,notebook,https://colab.research.google.com/drive/1Fys3UaM_dBboKzaCWqMN2RC2iKy8xPE9?usp=sharing
Search and Representations,Wed 01/29,Adversarial Search,Adversarial Search,blogpost,https://stackabuse.com/minimax-and-alpha-beta-pruning-in-python/
Search and Representations,Mon 02/03,Knowledge Representation and Feature Engineering,Slides,reading,https://drive.google.com/file/d/1PZTiiiTxianayPFHaLom8LYglS-ZSm0W/view?usp=sharing
Search and Representations,Mon 02/03,Knowledge Representation and Feature Engineering,"FCA - Chapters 5, 15, and 16",reading,https://artint.info/3e/html/ArtInt3e.Ch5.html
Search and Representations,Mon 02/03,Knowledge Representation and Feature Engineering,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d450ea46-dd55-498e-9af6-b2790167db7c
Search and Representations,Mon 02/03,Knowledge Representation and Feature Engineering,Harvard CS50,video,https://www.youtube.com/watch?v=HWQLez87vqM
Search and Representations,Mon 02/03,Knowledge Representation and Feature Engineering,Stanford CS221,video,https://www.youtube.com/watch?v=RIk67yGMVv4&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=44
Direct Fit Models,Wed 02/05,Decision Trees,Slides,reading,https://drive.google.com/file/d/1jNOF7nxXn-fkEwuArrLaG6cmbl9b-iJx/view?usp=sharing
Direct Fit Models,Wed 02/05,Decision Trees,FCA - Sections 7.2 and 7.3.1,reading,https://artint.info/3e/html/ArtInt3e.Ch7.S3.html
Direct Fit Models,Wed 02/05,Decision Trees,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=bf4e157a-ee3d-48b6-ac07-b27b016b88f3
Direct Fit Models,Wed 02/05,Decision Trees,PML - Chapter 18,reading,https://probml.github.io/pml-book/book1.html
Direct Fit Models,Wed 02/05,Decision Trees,ISLP - Chapter 8,reading,https://www.statlearning.com/
Direct Fit Models,Wed 02/05,Decision Trees,UML - Chapter 18,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html
Direct Fit Models,Wed 02/05,Decision Trees,MIT 6.034,video,https://www.youtube.com/watch?v=SXBG3RGr_Rc
Direct Fit Models,Wed 02/05,Decision Trees,Cornell CS4780,video,https://youtu.be/a3ioGSwfVpE?si=f0JevsrXU2q3LZw6
Direct Fit Models,Wed 02/05,Decision Trees,Playing Tennis Decision Tree,notebook,https://colab.research.google.com/drive/1C8MwpktYioRquWU_tz98funLSbe8nM5x?usp=sharing
Direct Fit Models,Wed 02/05,Decision Trees,Entropy (StatQuest),video,https://youtu.be/YtebGVx-Fxw?si=zC-J1JrOOe64b8cM
Direct Fit Models,Wed 02/05,Decision Trees,Decision Trees (StatQuest),video,https://youtu.be/7VeUPuFGJHk?si=SO3AHNT9KX1vJdln
Direct Fit Models,Wed 02/05,Decision Trees,Regression Trees (StatQuest),video,https://youtu.be/g9c66TUylZ4?si=SpvGvKvq9DmjLXYi
Direct Fit Models,Wed 02/05,Decision Trees,Information Theory (3b1b),video,https://youtu.be/v68zYyaEmEA?si=0mkPXsH4BYhxzSCl
Direct Fit Models,Wed 02/05,Decision Trees,Decision Trees (MLU),blogpost,https://mlu-explain.github.io/decision-tree/
